"learn_rate","dropout_rate","l2_reg","units1","units2","mean_auc","mean_epochs"
5e-04,0.5,0.01,64,32,0.799996599555016,15
0.001,0.2,0.005,64,32,0.801182985305786,9
5e-04,0.2,0.005,64,32,0.804079547524452,15
0.001,0.3,0.005,64,32,0.800945997238159,19
5e-04,0.3,0.005,64,32,0.80634069442749,17
0.001,0.4,0.005,64,32,0.801692456007004,13
5e-04,0.4,0.005,64,32,0.804053768515587,32
0.001,0.5,0.005,64,32,0.799645811319351,12
5e-04,0.5,0.005,64,32,0.805613279342651,28
0.001,0.2,0.001,64,32,0.80229826271534,18
5e-04,0.2,0.001,64,32,0.598470315337181,18
0.001,0.3,0.001,64,32,0.80127489566803,22
5e-04,0.3,0.001,64,32,0.802865132689476,21
0.001,0.4,0.001,64,32,0.803387716412544,13
5e-04,0.4,0.001,64,32,0.799453228712082,31
0.001,0.5,0.001,64,32,0.804101303219795,8
5e-04,0.5,0.001,64,32,0.805254280567169,24
0.001,0.2,0.1,128,32,0.786380350589752,16
5e-04,0.2,0.1,128,32,0.791433081030846,26
0.001,0.3,0.1,128,32,0.787085518240929,10
5e-04,0.3,0.1,128,32,0.792183235287666,22
0.001,0.4,0.1,128,32,0.78909569978714,20
5e-04,0.4,0.1,128,32,0.789765730500221,18
0.001,0.5,0.1,128,32,0.789315029978752,21
5e-04,0.5,0.1,128,32,0.789827063679695,11
0.001,0.2,0.01,128,32,0.800764665007591,24
5e-04,0.2,0.01,128,32,0.80306650698185,16
0.001,0.3,0.01,128,32,0.801382079720497,14
5e-04,0.3,0.01,128,32,0.803646326065063,20
0.001,0.4,0.01,128,32,0.797880873084068,12
5e-04,0.4,0.01,128,32,0.801122710108757,12
0.001,0.5,0.01,128,32,0.798617288470268,12
5e-04,0.5,0.01,128,32,0.802134066820145,12
0.001,0.2,0.005,128,32,0.800568521022797,28
5e-04,0.2,0.005,128,32,0.805827632546425,18
0.001,0.3,0.005,128,32,0.801059633493423,11
5e-04,0.3,0.005,128,32,0.800804272294044,18
0.001,0.4,0.005,128,32,0.801057144999504,9
5e-04,0.4,0.005,128,32,0.80513522028923,11
0.001,0.5,0.005,128,32,0.79899725317955,15
5e-04,0.5,0.005,128,32,0.802892670035362,21
0.001,0.2,0.001,128,32,0.800481855869293,13
5e-04,0.2,0.001,128,32,0.796886071562767,29
0.001,0.3,0.001,128,32,0.802660882472992,28
5e-04,0.3,0.001,128,32,0.799944370985031,24
0.001,0.4,0.001,128,32,0.802461937069893,18
5e-04,0.4,0.001,128,32,0.803820878267288,26
